tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,stage,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,breed,retweet_count,favorite_count
666020888022790149,2015-11-15 22:32:08+00:00,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. would pet,['https://twitter.com/dog_rates/status/666020888022790149/photo/1'],8,10,None,,welsh_springer_spaniel,0.465074,True,collie,0.156665,True,shetland_sheepdog,0.0614285,True,welsh_springer_spaniel,527,2528
666029285002620928,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. would walk the shit out of,['https://twitter.com/dog_rates/status/666029285002620928/photo/1'],7,10,a,,redbone,0.506826,True,miniature_pinscher,0.07419169999999999,True,rhodesian_ridgeback,0.07201,True,redbone,47,132
666033412701032449,2015-11-15 23:21:54+00:00,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. would cuddle af,['https://twitter.com/dog_rates/status/666033412701032449/photo/1'],9,10,a,,german_shepherd,0.596461,True,malinois,0.13858399999999998,True,bloodhound,0.116197,True,german_shepherd,46,128
666044226329800704,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron.,['https://twitter.com/dog_rates/status/666044226329800704/photo/1'],6,10,a,,rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,rhodesian_ridgeback,144,307
666049248165822465,2015-11-16 00:24:50+00:00,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased.,['https://twitter.com/dog_rates/status/666049248165822465/photo/1'],5,10,None,,miniature_pinscher,0.560311,True,rottweiler,0.243682,True,doberman,0.154629,True,miniature_pinscher,40,111
666050758794694657,2015-11-16 00:30:50+00:00,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. would trade lives with,['https://twitter.com/dog_rates/status/666050758794694657/photo/1'],10,10,a,,bernese_mountain_dog,0.651137,True,english_springer,0.263788,True,greater_swiss_mountain_dog,0.0161992,True,bernese_mountain_dog,59,136
666051853826850816,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well.,['https://twitter.com/dog_rates/status/666051853826850816/photo/1'],2,10,an,,box_turtle,0.933012,False,mud_turtle,0.045885400000000014,False,terrapin,0.017885299999999996,False,,873,1247
666055525042405380,2015-11-16 00:49:46+00:00,Here is a Siberian heavily armored polar bear mix. Strong owner. I would do unspeakable things to pet this dog,['https://twitter.com/dog_rates/status/666055525042405380/photo/1'],10,10,a,,chow,0.692517,True,tibetan_mastiff,0.0582794,True,fur_coat,0.0544486,False,chow,260,448
666057090499244032,2015-11-16 00:55:59+00:00,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. very rare,['https://twitter.com/dog_rates/status/666057090499244032/photo/1'],9,10,a,,shopping_cart,0.962465,False,shopping_basket,0.0145938,False,golden_retriever,0.00795896,True,golden_retriever,145,304
666058600524156928,2015-11-16 01:01:59+00:00,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). good dog,['https://twitter.com/dog_rates/status/666058600524156928/photo/1'],8,10,the,,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.08208610000000001,True,miniature_poodle,60,117
